"","Year","Borough","GeoID","Name","Pop1","Male","MaleP","Fem","FemP","MdAge","Hsp1","Hsp1P","WNH","WNHP","BNH","BNHP","ANH","ANHP","OthNH","OthNHP"
"1",2010,"Brooklyn","BK0101","Greenpoint",34719,17329,49.91,17390,50.09,34,5099,14.69,26691,76.88,433,1.25,1689,4.86,807,2.32
"2",2011,"Brooklyn","BK0101","Greenpoint",35145,17513,49.83,17632,50.17,34.1,5191,14.77,26802,76.26,471,1.34,1775,5.05,906,2.58
"3",2012,"Brooklyn","BK0101","Greenpoint",35571,17700,49.76,17871,50.24,34.1,5279,14.84,26899,75.62,526,1.48,1850,5.2,1017,2.86
"4",2013,"Brooklyn","BK0101","Greenpoint",35997,17887,49.69,18110,50.31,34.2,5367,14.91,26991,74.98,583,1.62,1926,5.35,1130,3.14
"5",2014,"Brooklyn","BK0101","Greenpoint",36423,18073,49.62,18350,50.38,34.3,5456,14.98,27077,74.34,641,1.76,2003,5.5,1246,3.42
"6",2015,"Brooklyn","BK0101","Greenpoint",36850,18259,49.55,18591,50.45,34.4,5546,15.05,27158,73.7,700,1.9,2082,5.65,1364,3.7
"7",2016,"Brooklyn","BK0101","Greenpoint",37276,18444,49.48,18832,50.52,34.4,5636,15.12,27234,73.06,760,2.04,2162,5.8,1484,3.98
"8",2017,"Brooklyn","BK0101","Greenpoint",37702,18629,49.41,19073,50.59,34.5,5727,15.19,27304,72.42,822,2.18,2243,5.95,1606,4.26
"9",2018,"Brooklyn","BK0101","Greenpoint",38128,18812,49.34,19316,50.66,34.6,5818,15.26,27368,71.78,885,2.32,2326,6.1,1731,4.54
"10",2019,"Brooklyn","BK0101","Greenpoint",38554,18996,49.27,19558,50.73,34.6,5910,15.33,27427,71.14,948,2.46,2410,6.25,1859,4.82
"11",2020,"Brooklyn","BK0101","Greenpoint",38980,19165,49.17,19815,50.83,34.7,6007,15.41,27496,70.54,1025,2.63,2477,6.35,1975,5.07
"12",2010,"Brooklyn","BK0102","Williamsburg",45774,22693,49.58,23081,50.42,30.9,17268,37.72,23968,52.36,1393,3.04,2227,4.87,918,2.01
"13",2011,"Brooklyn","BK0102","Williamsburg",47641,23601,49.54,24040,50.46,31,17422,36.57,25183,52.86,1458,3.06,2468,5.18,1110,2.33
"14",2012,"Brooklyn","BK0102","Williamsburg",49508,24497,49.48,25011,50.52,31.2,17546,35.44,26398,53.32,1545,3.12,2703,5.46,1316,2.66
"15",2013,"Brooklyn","BK0102","Williamsburg",51375,25390,49.42,25985,50.58,31.3,17627,34.31,27629,53.78,1634,3.18,2949,5.74,1536,2.99
"16",2014,"Brooklyn","BK0102","Williamsburg",53242,26280,49.36,26962,50.64,31.5,17666,33.18,28878,54.24,1725,3.24,3205,6.02,1768,3.32
"17",2015,"Brooklyn","BK0102","Williamsburg",55109,27169,49.3,27940,50.7,31.6,17662,32.05,30145,54.7,1819,3.3,3472,6.3,2011,3.65
"18",2016,"Brooklyn","BK0102","Williamsburg",56976,28055,49.24,28921,50.76,31.7,17617,30.92,31428,55.16,1914,3.36,3749,6.58,2268,3.98
