"YEAR","NTA2020","Pop1","MaleP","MdAge","Hsp1P","WNHP","BNHP","ANHP","OthNHP","MIncome"
2010,"BK0101",34719,49.91,34,14.69,76.88,1.25,4.86,2.32,54643.97
2011,"BK0101",35145,49.83,34.1,14.77,76.26,1.34,5.05,2.58,59629.57
2012,"BK0101",35571,49.76,34.1,14.84,75.62,1.48,5.2,2.86,63285.25
2013,"BK0101",35997,49.69,34.2,14.91,74.98,1.62,5.35,3.14,66612.28
2014,"BK0101",36423,49.62,34.3,14.98,74.34,1.76,5.5,3.42,68790.8
2015,"BK0101",36850,49.55,34.4,15.05,73.7,1.9,5.65,3.7,73415.59
2016,"BK0101",37276,49.48,34.4,15.12,73.06,2.04,5.8,3.98,76054.06
2017,"BK0101",37702,49.41,34.5,15.19,72.42,2.18,5.95,4.26,88139.5
2018,"BK0101",38128,49.34,34.6,15.26,71.78,2.32,6.1,4.54,93505.14
2019,"BK0101",38554,49.27,34.6,15.33,71.14,2.46,6.25,4.82,97675.55
2020,"BK0101",38980,49.17,34.7,15.41,70.54,2.63,6.35,5.07,98922.6
2010,"BK0102",45774,49.58,30.9,37.72,52.36,3.04,4.87,2.01,44762.95
2011,"BK0102",47641,49.54,31,36.57,52.86,3.06,5.18,2.33,50977.94
2012,"BK0102",49508,49.48,31.2,35.44,53.32,3.12,5.46,2.66,53283.31
2013,"BK0102",51375,49.42,31.3,34.31,53.78,3.18,5.74,2.99,58196.19
2014,"BK0102",53242,49.36,31.5,33.18,54.24,3.24,6.02,3.32,64278.56
2015,"BK0102",55109,49.3,31.6,32.05,54.7,3.3,6.3,3.65,71073.66
2016,"BK0102",56976,49.24,31.7,30.92,55.16,3.36,6.58,3.98,75499.55
2017,"BK0102",58843,49.18,31.9,29.79,55.62,3.42,6.86,4.31,91996.46
2018,"BK0102",60710,49.12,32,28.66,56.08,3.48,7.14,4.64,99758.53
2019,"BK0102",62577,49.06,32.2,27.53,56.54,3.54,7.42,4.97,104665.24
2020,"BK0102",64444,49,32.3,26.4,56.96,3.63,7.72,5.29,120177.98
2010,"BK0103",42241,50.22,18.6,10.13,86.81,2.16,0.18,0.72,21948.47
2011,"BK0103",42787,50.21,18.7,9.96,86.45,2.24,0.26,1.09,23138.91
2012,"BK0103",43333,50.22,18.8,9.82,86.1,2.28,0.32,1.48,20448.23
2013,"BK0103",43880,50.23,18.9,9.68,85.75,2.32,0.38,1.87,20085.5
2014,"BK0103",44426,50.24,19,9.54,85.4,2.36,0.44,2.26,22453.39
2015,"BK0103",44972,50.25,19.1,9.4,85.05,2.4,0.5,2.65,25579.78
2016,"BK0103",45518,50.26,19.1,9.26,84.7,2.44,0.56,3.04,23453.44
2017,"BK0103",46064,50.27,19.2,9.12,84.35,2.48,0.62,3.43,27789.4
2018,"BK0103",46611,50.28,19.3,8.98,84,2.52,0.68,3.82,29048.82
2019,"BK0103",47157,50.29,19.4,8.84,83.65,2.56,0.74,4.21,28482.32
2020,"BK0103",47703,50.32,19.5,8.67,83.25,2.55,0.76,4.77,31847.37
2010,"BK0104",50349,48.21,32.2,40.45,35.71,12.4,9.37,2.07,44523.5
2011,"BK0104",50614,48.14,32.4,39.82,35.97,12.31,9.56,2.34,49554.27
2012,"BK0104",50879,48.08,32.5,39.24,36.24,12.22,9.72,2.58,48485.97
2013,"BK0104",51144,48.02,32.7,38.66,36.51,12.13,9.88,2.82,49751.78
2014,"BK0104",51409,47.96,32.8,38.08,36.78,12.04,10.04,3.06,53793.06
2015,"BK0104",51674,47.9,33,37.5,37.05,11.95,10.2,3.3,55831.97
2016,"BK0104",51938,47.84,33.2,36.92,37.32,11.86,10.36,3.54,58022.7
2017,"BK0104",52203,47.78,33.3,36.34,37.59,11.77,10.52,3.78,64410.95
2018,"BK0104",52468,47.72,33.5,35.76,37.86,11.68,10.68,4.02,67527.32
2019,"BK0104",52733,47.66,33.6,35.18,38.13,11.59,10.84,4.26,75554.59
2020,"BK0104",52998,47.57,33.8,34.57,38.42,11.53,10.98,4.5,68821.43
2010,"BK0201",22887,47.94,37.1,7.32,75.2,5.5,8.75,3.23,108278.57
2011,"BK0201",23108,47.87,37.1,7.35,75.03,5.3,8.83,3.49,115280.53
2012,"BK0201",23328,47.84,37.1,7.4,74.86,5.1,8.86,3.78,106641.69
2013,"BK0201",23549,47.81,37.1,7.45,74.69,4.9,8.89,4.07,106830.62
2014,"BK0201",23769,47.78,37.1,7.5,74.52,4.7,8.92,4.36,106748.21
2015,"BK0201",23990,47.75,37.1,7.55,74.35,4.5,8.95,4.65,104283.56
2016,"BK0201",24210,47.72,37.1,7.6,74.18,4.3,8.98,4.94,113350.04
2017,"BK0201",24431,47.69,37.1,7.65,74.01,4.1,9.01,5.23,134473.08
2018,"BK0201",24651,47.66,37.1,7.7,73.84,3.9,9.04,5.53,140271.45
2019,"BK0201",24872,47.63,37.1,7.75,73.67,3.7,9.07,5.81,138892.41
2020,"BK0201",25092,47.65,37.1,7.82,73.51,3.53,9.09,6.05,153067.57
2010,"BK0202",24605,48.19,34.8,17.81,47.84,20.72,10.15,3.48,85174.88
2011,"BK0202",26241,48.21,34.7,17.38,47.71,20.07,10.95,3.89,86359.3
2012,"BK0202",27878,48.22,34.6,16.96,47.62,19.44,11.8,4.18,95465.48
2013,"BK0202",29514,48.23,34.5,16.54,47.53,18.81,12.65,4.47,104339.18
2014,"BK0202",31150,48.24,34.4,16.12,47.44,18.18,13.5,4.76,109072.02
2015,"BK0202",32786,48.25,34.2,15.7,47.35,17.55,14.35,5.05,112282.57
2016,"BK0202",34423,48.26,34.1,15.28,47.26,16.92,15.2,5.34,120984.23
2017,"BK0202",36059,48.27,34,14.86,47.17,16.29,16.05,5.63,117696.86
2018,"BK0202",37695,48.28,33.9,14.44,47.08,15.66,16.9,5.92,121770.91
