"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP05_0001E","Estimate!!SEX AND AGE!!Total population"
"DP05_0001M","Margin of Error!!SEX AND AGE!!Total population"
"DP05_0001PE","Percent!!SEX AND AGE!!Total population"
"DP05_0001PM","Percent Margin of Error!!SEX AND AGE!!Total population"
"DP05_0002E","Estimate!!SEX AND AGE!!Male"
"DP05_0002M","Margin of Error!!SEX AND AGE!!Male"
"DP05_0002PE","Percent!!SEX AND AGE!!Male"
"DP05_0002PM","Percent Margin of Error!!SEX AND AGE!!Male"
"DP05_0003E","Estimate!!SEX AND AGE!!Female"
"DP05_0003M","Margin of Error!!SEX AND AGE!!Female"
"DP05_0003PE","Percent!!SEX AND AGE!!Female"
"DP05_0003PM","Percent Margin of Error!!SEX AND AGE!!Female"
"DP05_0017E","Estimate!!SEX AND AGE!!Median age (years)"
"DP05_0017M","Margin of Error!!SEX AND AGE!!Median age (years)"
"DP05_0017PE","Percent!!SEX AND AGE!!Median age (years)"
"DP05_0017PM","Percent Margin of Error!!SEX AND AGE!!Median age (years)"
"DP05_0065E","Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)"
"DP05_0065M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)"
"DP05_0065PE","Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)"
"DP05_0065PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)"
"DP05_0072E","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone"
"DP05_0072M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone"
"DP05_0072PE","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone"
"DP05_0072PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone"
"DP05_0073E","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone"
"DP05_0073M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone"
"DP05_0073PE","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone"
"DP05_0073PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone"
"DP05_0075E","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone"
"DP05_0075M","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone"
"DP05_0075PE","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone"
"DP05_0075PM","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone"
