Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Margin of Error!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Percent Margin of Error!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Male,Margin of Error!!SEX AND AGE!!Male,Percent!!SEX AND AGE!!Male,Percent Margin of Error!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Margin of Error!!SEX AND AGE!!Female,Percent!!SEX AND AGE!!Female,Percent Margin of Error!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!Median age (years),Margin of Error!!SEX AND AGE!!Median age (years),Percent!!SEX AND AGE!!Median age (years),Percent Margin of Error!!SEX AND AGE!!Median age (years),Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone,Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone,Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone,Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone,Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone,Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone,Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone,year
0500000US36005,"Bronx County, New York",1392002,*****,1392002,(X),655495,637,47.1,0.1,736507,637,52.9,0.1,32.8,0.2,(X),(X),748438,*****,53.8,*****,153850,1007,11.1,0.1,415660,2614,29.9,0.2,47042,2260,3.4,0.2,2011
0500000US36047,"Kings County, New York",2532645,*****,2532645,(X),1197633,315,47.3,0.1,1335012,315,52.7,0.1,34.2,0.2,(X),(X),506552,*****,20.0,*****,901218,1413,35.6,0.1,812340,2925,32.1,0.1,268449,2953,10.6,0.1,2011
0500000US36061,"New York County, New York",1601948,*****,1601948,(X),754546,265,47.1,0.1,847402,265,52.9,0.1,36.5,0.3,(X),(X),410681,*****,25.6,*****,763051,2039,47.6,0.1,209148,2862,13.1,0.2,175653,3359,11.0,0.2,2011
0500000US36081,"Queens County, New York",2247848,*****,2247848,(X),1089595,514,48.5,0.1,1158253,514,51.5,0.1,37.4,0.2,(X),(X),625016,*****,27.8,*****,613997,2375,27.3,0.1,398714,3846,17.7,0.2,517490,6552,23.0,0.3,2011
0500000US36085,"Richmond County, New York",470467,*****,470467,(X),228021,*****,48.5,*****,242446,*****,51.5,*****,38.6,0.3,(X),(X),82617,*****,17.6,*****,299057,498,63.6,0.1,47038,1147,10.0,0.2,36992,931,7.9,0.2,2011
1600000US3651000,"New York city, New York",8244910,*****,8244910,(X),3925290,862,47.6,0.1,4319620,862,52.4,0.1,35.5,0.1,(X),(X),2373304,*****,28.8,*****,2731173,3847,33.1,0.1,1882900,6298,22.8,0.1,1045626,8332,12.7,0.1,2011
0500000US36005,"Bronx County, New York",1408473,*****,1408473,(X),662591,570,47.0,0.1,745882,570,53.0,0.1,33.0,0.2,(X),(X),764609,*****,54.3,*****,149262,948,10.6,0.1,419771,4097,29.8,0.3,50627,1081,3.6,0.1,2012
0500000US36047,"Kings County, New York",2565635,*****,2565635,(X),1214702,322,47.3,0.1,1350933,322,52.7,0.1,34.2,0.1,(X),(X),507552,*****,19.8,*****,914581,1484,35.6,0.1,815158,2959,31.8,0.1,280287,3328,10.9,0.1,2012
0500000US36061,"New York County, New York",1619090,*****,1619090,(X),764250,743,47.2,0.1,854840,743,52.8,0.1,36.5,0.2,(X),(X),417471,*****,25.8,*****,767347,1184,47.4,0.1,211560,3938,13.1,0.2,181900,2931,11.2,0.2,2012
0500000US36081,"Queens County, New York",2272771,*****,2272771,(X),1102505,698,48.5,0.1,1170266,698,51.5,0.1,37.5,0.2,(X),(X),634077,*****,27.9,*****,604608,2877,26.6,0.1,394300,4188,17.3,0.2,535409,5085,23.6,0.2,2012
0500000US36085,"Richmond County, New York",470728,*****,470728,(X),227378,316,48.3,0.1,243350,316,51.7,0.1,38.9,0.3,(X),(X),83181,*****,17.7,*****,297807,1909,63.3,0.4,45093,1205,9.6,0.3,36324,1164,7.7,0.2,2012
1600000US3651000,"New York city, New York",8336697,*****,8336697,(X),3971426,1343,47.6,0.1,4365271,1343,52.4,0.1,35.6,0.1,(X),(X),2406890,*****,28.9,*****,2733605,4345,32.8,0.1,1885882,7847,22.6,0.1,1084547,6455,13.0,0.1,2012
0500000US36005,"Bronx County, New York",1418733,*****,1418733,(X),669665,471,47.2,0.1,749068,471,52.8,0.1,33.3,0.2,(X),(X),774778,*****,54.6,*****,146628,1843,10.3,0.1,418584,2312,29.5,0.2,50909,1385,3.6,0.1,2013
0500000US36047,"Kings County, New York",2592149,*****,2592149,(X),1228955,477,47.4,0.1,1363194,477,52.6,0.1,34.4,0.1,(X),(X),507880,*****,19.6,*****,925733,2887,35.7,0.1,812270,2545,31.3,0.1,292604,2790,11.3,0.1,2013
0500000US36061,"New York County, New York",1626159,*****,1626159,(X),767797,541,47.2,0.1,858362,541,52.8,0.1,36.7,0.3,(X),(X),419398,*****,25.8,*****,766114,2944,47.1,0.2,208313,4500,12.8,0.3,184710,4171,11.4,0.3,2013
0500000US36081,"Queens County, New York",2296175,*****,2296175,(X),1115860,548,48.6,0.1,1180315,548,51.4,0.1,37.7,0.2,(X),(X),642259,*****,28.0,*****,603001,3130,26.3,0.1,397357,4603,17.3,0.2,558261,4971,24.3,0.2,2013
0500000US36085,"Richmond County, New York",472621,*****,472621,(X),228464,725,48.3,0.2,244157,725,51.7,0.2,39.6,0.4,(X),(X),84441,*****,17.9,*****,297670,1183,63.0,0.3,46004,1670,9.7,0.4,37295,1322,7.9,0.3,2013
1600000US3651000,"New York city, New York",8405837,*****,8405837,(X),4010741,1363,47.7,0.1,4395096,1363,52.3,0.1,35.8,0.2,(X),(X),2428756,*****,28.9,*****,2739146,5719,32.6,0.1,1882528,7457,22.4,0.1,1123779,7894,13.4,0.1,2013
0500000US36005,"Bronx County, New York",1438159,*****,1438159,(X),676729,539,47.1,0.1,761430,539,52.9,0.1,33.4,0.2,(X),(X),788575,*****,54.8,*****,146059,731,10.2,0.1,425047,3829,29.6,0.3,53951,1468,3.8,0.1,2014
0500000US36047,"Kings County, New York",2621793,*****,2621793,(X),1242380,577,47.4,0.1,1379413,577,52.6,0.1,34.5,0.1,(X),(X),512181,*****,19.5,*****,932867,1668,35.6,0.1,814814,3451,31.1,0.1,307115,2784,11.7,0.1,2014
0500000US36061,"New York County, New York",1636268,*****,1636268,(X),772376,439,47.2,0.1,863892,439,52.8,0.1,36.6,0.2,(X),(X),423963,*****,25.9,*****,766937,1835,46.9,0.1,205503,4066,12.6,0.2,191248,3362,11.7,0.2,2014
0500000US36081,"Queens County, New York",2321580,*****,2321580,(X),1126125,559,48.5,0.1,1195455,559,51.5,0.1,37.8,0.2,(X),(X),650576,*****,28.0,*****,596952,2893,25.7,0.1,403058,4722,17.4,0.2,573391,4973,24.7,0.2,2014
0500000US36085,"Richmond County, New York",473279,*****,473279,(X),228784,479,48.3,0.1,244495,479,51.7,0.1,39.7,0.5,(X),(X),85603,*****,18.1,*****,295732,331,62.5,0.1,42965,3468,9.1,0.7,37427,1607,7.9,0.3,2014
1600000US3651000,"New York city, New York",8491079,*****,8491079,(X),4046394,1127,47.7,0.1,4444685,1127,52.3,0.1,35.8,0.1,(X),(X),2460898,*****,29.0,*****,2738547,3547,32.3,0.1,1891387,7973,22.3,0.1,1163132,7035,13.7,0.1,2014
0500000US36005,"Bronx County, New York",1455444,*****,1455444,(X),687295,679,47.2,0.1,768149,679,52.8,0.1,33.6,0.2,(X),(X),802221,*****,55.1,*****,145316,746,10.0,0.1,426944,3272,29.3,0.2,52537,2965,3.6,0.2,2015
0500000US36047,"Kings County, New York",2636735,*****,2636735,(X),1250574,691,47.4,0.1,1386161,691,52.6,0.1,34.7,0.1,(X),(X),513242,*****,19.5,*****,941604,1446,35.7,0.1,801354,3924,30.4,0.1,317185,2811,12.0,0.1,2015
0500000US36061,"New York County, New York",1644518,*****,1644518,(X),778476,518,47.3,0.1,866042,518,52.7,0.1,36.8,0.2,(X),(X),426894,*****,26.0,*****,765068,2431,46.5,0.1,206615,3320,12.6,0.2,199675,2872,12.1,0.2,2015
0500000US36081,"Queens County, New York",2339150,*****,2339150,(X),1135453,745,48.5,0.1,1203697,745,51.5,0.1,38.1,0.2,(X),(X),656031,*****,28.0,*****,594806,2147,25.4,0.1,400287,4562,17.1,0.2,587877,6407,25.1,0.3,2015
0500000US36085,"Richmond County, New York",474558,*****,474558,(X),229900,360,48.4,0.1,244658,360,51.6,0.1,39.8,0.5,(X),(X),86737,*****,18.3,*****,294203,117,62.0,0.1,45160,1880,9.5,0.4,38860,1286,8.2,0.3,2015
1600000US3651000,"New York city, New York",8550405,*****,8550405,(X),4081698,1208,47.7,0.1,4468707,1208,52.3,0.1,36.0,0.1,(X),(X),2485125,*****,29.1,*****,2740997,3724,32.1,0.1,1880360,8165,22.0,0.1,1196134,7994,14.0,0.1,2015
0500000US36005,"Bronx County, New York",1455720,*****,1455720,(X),686382,850,47.2,0.1,769338,850,52.8,0.1,33.6,0.2,(X),(X),815422,*****,56.0,*****,131556,1604,9.0,0.1,428954,2474,29.5,0.2,50926,2911,3.5,0.2,2016
0500000US36047,"Kings County, New York",2629150,*****,2629150,(X),1247152,686,47.4,0.1,1381998,686,52.6,0.1,34.8,0.1,(X),(X),505183,*****,19.2,*****,941711,1578,35.8,0.1,799485,3372,30.4,0.1,314019,4114,11.9,0.2,2016
0500000US36061,"New York County, New York",1643734,*****,1643734,(X),779699,521,47.4,0.1,864035,521,52.6,0.1,37.1,0.2,(X),(X),427224,*****,26.0,*****,769153,1062,46.8,0.1,206110,3182,12.5,0.2,201309,3235,12.2,0.2,2016
0500000US36081,"Queens County, New York",2333054,*****,2333054,(X),1131856,848,48.5,0.1,1201198,848,51.5,0.1,38.3,0.2,(X),(X),653694,*****,28.0,*****,579780,2811,24.9,0.1,397247,5185,17.0,0.2,589414,6226,25.3,0.3,2016
